# SYNTHETIC WEATHER DATA — NOT FROM A WEATHER STATION
# Generated for CropForge maize_dual_plot.py (PRD v0.2.0 Section 16)
# Represents a summer maize growing season (Kharif) starting June 15 (DOY 166)
# Location: Jharkhand, India (~23.3N, 85.3E, elevation ~300m)
# 90 days of summer monsoon-influenced weather
# FIELD CAPACITY (FC) = 32.0%   PERMANENT WILTING POINT (PWP) = 14.0%
# DO NOT use for agronomic decision-making.
date,tmax_c,tmin_c,radiation_mj,rainfall_mm,humidity_pct,wind_ms
2026-06-15,34.2,23.5,18.4,0.0,62.0,3.8
2026-06-16,35.1,24.0,19.1,0.0,60.0,3.6
2026-06-17,35.8,24.3,19.8,0.0,58.0,4.0
2026-06-18,36.2,24.5,20.1,0.0,57.0,4.2
2026-06-19,35.5,24.0,19.5,0.0,59.0,3.9
2026-06-20,34.8,23.8,18.9,2.5,65.0,3.2
2026-06-21,33.2,23.0,17.5,8.0,72.0,2.8
2026-06-22,32.5,22.8,16.8,12.0,75.0,2.5
2026-06-23,33.0,23.1,17.2,4.0,70.0,3.0
2026-06-24,34.1,23.6,18.0,0.0,65.0,3.5
2026-06-25,34.8,24.0,18.6,0.0,63.0,3.7
2026-06-26,35.2,24.2,19.0,0.0,61.0,3.8
2026-06-27,35.9,24.5,19.5,0.0,59.0,4.0
2026-06-28,34.5,23.9,18.8,1.5,64.0,3.4
2026-06-29,33.8,23.5,18.2,6.0,68.0,3.0
2026-06-30,34.2,23.7,18.5,0.0,66.0,3.3
2026-07-01,35.0,24.1,19.2,0.0,63.0,3.6
2026-07-02,35.5,24.3,19.6,0.0,61.0,3.8
2026-07-03,34.8,24.0,18.9,3.0,67.0,3.2
2026-07-04,33.5,23.2,17.8,10.0,73.0,2.7
2026-07-05,32.8,22.9,17.2,15.0,76.0,2.4
2026-07-06,33.2,23.1,17.5,8.0,74.0,2.6
2026-07-07,33.9,23.4,18.0,2.0,70.0,3.0
2026-07-08,34.5,23.8,18.5,0.0,67.0,3.4
2026-07-09,35.1,24.1,19.1,0.0,64.0,3.7
2026-07-10,35.6,24.4,19.5,0.0,62.0,3.9
2026-07-11,35.2,24.2,19.3,0.0,63.0,3.8
2026-07-12,34.8,24.0,18.9,1.0,65.0,3.5
2026-07-13,33.5,23.3,18.0,5.0,69.0,3.1
2026-07-14,32.9,22.9,17.4,9.0,73.0,2.8
2026-07-15,33.4,23.2,17.8,4.0,71.0,3.0
2026-07-16,34.0,23.5,18.3,0.0,68.0,3.3
2026-07-17,34.6,23.8,18.7,0.0,66.0,3.5
2026-07-18,35.0,24.0,19.0,0.0,64.0,3.7
2026-07-19,34.5,23.7,18.6,2.0,67.0,3.4
2026-07-20,33.8,23.3,18.1,7.0,71.0,3.0
2026-07-21,33.2,23.0,17.6,11.0,74.0,2.7
2026-07-22,33.7,23.3,18.0,5.0,72.0,2.9
2026-07-23,34.2,23.6,18.4,0.0,69.0,3.2
2026-07-24,34.8,23.9,18.8,0.0,67.0,3.5
2026-07-25,35.2,24.2,19.2,0.0,65.0,3.7
2026-07-26,34.9,24.0,19.0,1.5,66.0,3.5
2026-07-27,34.1,23.6,18.5,4.0,68.0,3.3
2026-07-28,33.5,23.2,18.0,8.0,72.0,3.0
2026-07-29,33.0,22.8,17.5,12.0,75.0,2.6
2026-07-30,33.5,23.1,17.9,6.0,73.0,2.8
2026-07-31,34.0,23.4,18.3,0.0,70.0,3.1
2026-08-01,34.5,23.7,18.7,0.0,68.0,3.4
2026-08-02,35.0,24.0,19.0,0.0,66.0,3.6
2026-08-03,34.6,23.8,18.8,2.0,67.0,3.4
2026-08-04,34.0,23.5,18.4,5.0,70.0,3.2
2026-08-05,33.2,23.0,17.8,9.0,73.0,2.8
2026-08-06,32.8,22.7,17.4,13.0,76.0,2.5
2026-08-07,33.2,23.0,17.7,7.0,74.0,2.7
2026-08-08,33.8,23.3,18.1,2.0,71.0,3.0
2026-08-09,34.3,23.7,18.5,0.0,68.0,3.3
2026-08-10,34.8,23.9,18.8,0.0,66.0,3.5
2026-08-11,35.1,24.1,19.1,0.0,64.0,3.7
2026-08-12,34.7,23.8,18.8,1.5,66.0,3.5
2026-08-13,34.1,23.5,18.4,4.0,68.0,3.3
2026-08-14,33.5,23.1,17.9,7.0,71.0,3.0
2026-08-15,33.0,22.8,17.5,10.0,74.0,2.7
2026-08-16,33.4,23.1,17.8,5.0,72.0,2.9
2026-08-17,34.0,23.4,18.2,0.0,70.0,3.2
2026-08-18,34.5,23.7,18.6,0.0,68.0,3.4
2026-08-19,34.9,24.0,18.9,0.0,66.0,3.6
2026-08-20,34.5,23.7,18.6,2.0,68.0,3.4
2026-08-21,33.8,23.3,18.1,6.0,71.0,3.1
2026-08-22,33.2,23.0,17.7,9.0,74.0,2.8
2026-08-23,32.8,22.7,17.3,12.0,76.0,2.5
2026-08-24,33.2,23.0,17.7,6.0,73.0,2.8
2026-08-25,33.8,23.3,18.1,1.0,71.0,3.0
2026-08-26,34.3,23.6,18.5,0.0,68.0,3.3
2026-08-27,34.7,23.9,18.8,0.0,66.0,3.5
2026-08-28,34.3,23.6,18.5,1.5,68.0,3.3
2026-08-29,33.6,23.2,18.0,5.0,71.0,3.1
2026-08-30,33.0,22.8,17.5,8.0,74.0,2.8
2026-08-31,32.6,22.5,17.1,11.0,76.0,2.5
2026-09-01,33.0,22.8,17.5,7.0,74.0,2.7
2026-09-02,33.6,23.1,18.0,2.0,72.0,3.0
2026-09-03,34.1,23.5,18.4,0.0,69.0,3.2
2026-09-04,34.5,23.7,18.7,0.0,67.0,3.4
2026-09-05,34.1,23.5,18.4,1.5,68.0,3.3
2026-09-06,33.5,23.1,18.0,4.0,71.0,3.1
2026-09-07,32.9,22.8,17.5,7.0,74.0,2.8
2026-09-08,32.5,22.5,17.2,10.0,76.0,2.5
2026-09-09,32.9,22.8,17.5,6.0,74.0,2.7
2026-09-10,33.4,23.1,17.9,2.0,72.0,3.0
2026-09-11,33.9,23.4,18.3,0.0,70.0,3.2
2026-09-12,34.3,23.7,18.6,0.0,68.0,3.4
