# SYNTHETIC DATA — NOT FROM A WEATHER STATION
# Generated for CropForge wheat_basic.py reference example (PRD Section 10.3)
# Represents a temperate wheat growing season (approximately March–June)
# DO NOT use for agronomic decision-making.
# Columns: date, tmax_c, tmin_c, radiation_mj, rainfall_mm, humidity_pct, wind_ms
date,tmax_c,tmin_c,radiation_mj,rainfall_mm,humidity_pct,wind_ms
2026-03-01,12.1,3.2,8.5,0.0,72.0,2.1
2026-03-02,13.4,4.1,9.2,0.0,68.0,1.8
2026-03-03,14.0,4.8,10.1,2.5,75.0,2.4
2026-03-04,11.5,3.0,7.8,5.2,80.0,3.1
2026-03-05,10.2,2.1,6.9,0.0,78.0,2.8
2026-03-06,12.8,3.5,9.8,0.0,70.0,2.0
2026-03-07,14.2,5.0,11.2,0.0,65.0,1.7
2026-03-08,15.5,5.8,12.0,0.0,63.0,1.5
2026-03-09,16.1,6.2,12.8,0.0,61.0,1.4
2026-03-10,15.3,5.5,11.9,1.8,67.0,2.2
2026-03-11,13.7,4.2,10.3,3.5,74.0,2.9
2026-03-12,12.9,3.8,9.5,0.0,72.0,2.5
2026-03-13,14.5,5.1,11.5,0.0,66.0,1.9
2026-03-14,16.0,6.0,13.2,0.0,62.0,1.6
2026-03-15,17.2,7.1,14.5,0.0,58.0,1.3
2026-03-16,18.0,7.8,15.1,0.0,56.0,1.2
2026-03-17,17.5,7.3,14.8,0.0,57.0,1.4
2026-03-18,16.8,6.9,14.0,0.0,60.0,1.6
2026-03-19,15.5,6.2,13.1,2.0,65.0,2.1
2026-03-20,14.2,5.0,11.8,4.5,70.0,2.7
2026-03-21,13.8,4.5,11.2,0.0,68.0,2.4
2026-03-22,15.1,5.5,12.5,0.0,64.0,2.0
2026-03-23,16.5,6.5,13.8,0.0,60.0,1.7
2026-03-24,17.8,7.5,15.0,0.0,57.0,1.4
2026-03-25,18.5,8.2,15.8,0.0,55.0,1.2
2026-03-26,19.2,8.8,16.5,0.0,53.0,1.1
2026-03-27,18.8,8.5,16.0,0.0,54.0,1.3
2026-03-28,17.5,7.5,14.5,1.5,60.0,2.0
2026-03-29,16.2,6.5,13.2,3.8,66.0,2.5
2026-03-30,15.5,5.8,12.5,0.0,65.0,2.2
2026-03-31,16.8,6.8,14.0,0.0,61.0,1.8
